,activity,start,end,type,user,travel_start,travel_end,case,cost
48450,decide on travel expense approval,10.05.17 13:59,10.05.17 14:05,Manager,MU7591,27.09.17,30.09.17,4501,
48451,send request for travel expense correction,10.05.17 14:05,10.05.17 14:05,,,27.09.17,30.09.17,4501,
48452,correct travel expense report,10.10.17 09:22,10.10.17 10:15,Employee,PS378,27.09.17,30.09.17,4501,
48453,decide on travel expense approval,10.10.17 14:04,10.10.17 14:05,Manager,MU7591,27.09.17,30.09.17,4501,
48454,send original documents to archive,23.10.17 06:59,23.10.17 07:28,Employee,PS378,27.09.17,30.09.17,4501,
48455,calculate payments,27.10.17 09:19,27.10.17 09:58,Accounting,GU1789,27.09.17,30.09.17,4501,
48456,pay expenses,30.10.17 10:52,30.10.17 09:57,Accounting,GU1789,27.09.17,30.09.17,4501,
48457,file travel request,07.10.17 06:59,07.10.17 07:25,Employee,SU4119,26.08.17,28.08.17,4502,
48458,check if travel request needs preliminary price inquiry,07.10.17 07:25,07.10.17 07:26,,,26.08.17,28.08.17,4502,
48459,decide on approval requirements,07.10.17 07:26,07.10.17 07:28,,,26.08.17,28.08.17,4502,
48460,check if booking is necessary,20.07.17 14:21,20.07.17 14:25,Travel Department,KS9688,26.08.17,28.08.17,4502,
48461,check if expense documents exist,31.08.17 16:48,31.08.17 17:43,Employee,SU4119,26.08.17,28.08.17,4502,
48462,file travel expense report,31.08.17 17:43,31.08.17 17:57,Employee,SU4119,26.08.17,28.08.17,4502,
48463,confirm travel expense report,31.08.17 17:57,31.08.17 18:01,Employee,SU4119,26.08.17,28.08.17,4502,
48464,decide on travel expense approval,09.01.17 13:59,09.01.17 14:03,Manager,MA6233,26.08.17,28.08.17,4502,
48465,send original documents to archive,09.07.17 09:15,09.07.17 09:42,Employee,SU4119,26.08.17,28.08.17,4502,
48466,calculate payments,10.11.17 09:03,10.11.17 09:19,Accounting,WE5108,26.08.17,28.08.17,4502,
48467,pay expenses,25.10.17 09:06,25.10.17 09:09,Accounting,WE5108,26.08.17,28.08.17,4502,
48468,file travel request,07.10.17 06:59,07.10.17 07:06,Employee,EX8327,01.11.17,02.11.17,4503,
48469,check if travel request needs preliminary price inquiry,07.10.17 07:06,07.10.17 07:06,,,01.11.17,02.11.17,4503,
48470,decide on approval requirements,07.10.17 07:06,07.10.17 07:07,,,01.11.17,02.11.17,4503,
48471,check if booking is necessary,20.07.17 11:58,20.07.17 12:03,Travel Department,JV9257,01.11.17,02.11.17,4503,
48472,prepare booking proposal,31.07.17 13:46,31.07.17 15:22,Travel Department,JV9257,01.11.17,02.11.17,4503,
48473,send booking proposal to employee,08.11.17 10:45,08.11.17 10:50,Travel Department,JV9257,01.11.17,02.11.17,4503,
48474,check booking proposal,08.11.17 12:37,08.11.17 12:39,Employee,EX8327,01.11.17,02.11.17,4503,
48475,check if travel request is still needed and up to date,14.08.17 06:59,14.08.17 07:20,Employee,EX8327,01.11.17,02.11.17,4503,
48476,request update of the booking proposal,14.08.17 07:20,14.08.17 07:20,Employee,EX8327,01.11.17,02.11.17,4503,
48477,prepare booking proposal,24.08.17 13:55,24.08.17 14:43,Travel Department,JV9257,01.11.17,02.11.17,4503,
48478,send booking proposal to employee,09.06.17 14:09,09.06.17 14:13,Travel Department,JV9257,01.11.17,02.11.17,4503,
48479,check booking proposal,09.06.17 19:16,09.06.17 19:20,Employee,EX8327,01.11.17,02.11.17,4503,
48480,book travel,19.09.17 11:14,19.09.17 13:30,Travel Department,JV9257,01.11.17,02.11.17,4503,
48481,check if expense documents exist,11.06.17 05:59,11.06.17 06:43,Employee,EX8327,01.11.17,02.11.17,4503,
48482,upload travel expense documents,11.06.17 06:43,11.06.17 06:50,Employee,EX8327,01.11.17,02.11.17,4503,
48483,file travel expense report,11.06.17 06:50,11.06.17 06:54,Employee,EX8327,01.11.17,02.11.17,4503,
48484,confirm travel expense report,11.06.17 06:54,11.06.17 06:56,Employee,EX8327,01.11.17,02.11.17,4503,
48485,decide on travel expense approval,11.06.17 13:06,11.06.17 13:09,Manager,TF7102,01.11.17,02.11.17,4503,
48486,send original documents to archive,23.11.17 08:09,23.11.17 08:24,Employee,EX8327,01.11.17,02.11.17,4503,
48487,calculate payments,24.11.17 08:05,24.11.17 08:56,Accounting,WE5108,01.11.17,02.11.17,4503,
48488,pay expenses,12.06.17 07:59,12.06.17 08:07,Accounting,WE5108,01.11.17,02.11.17,4503,
48489,file travel request,07.10.17 06:59,07.10.17 07:06,Employee,IE1564,11.09.17,12.09.17,4506,
48490,check if travel request needs preliminary price inquiry,07.10.17 07:06,07.10.17 07:07,,,11.09.17,12.09.17,4506,
48491,decide on approval requirements,07.10.17 07:07,07.10.17 07:09,,,11.09.17,12.09.17,4506,
48492,check if booking is necessary,20.07.17 12:03,20.07.17 12:05,Travel Department,AW2532,11.09.17,12.09.17,4506,
48493,prepare booking proposal,31.07.17 14:16,31.07.17 15:19,Travel Department,AW2532,11.09.17,12.09.17,4506,
48494,send booking proposal to employee,08.11.17 10:42,08.11.17 10:45,Travel Department,AW2532,11.09.17,12.09.17,4506,
48495,check booking proposal,08.11.17 11:51,08.11.17 11:55,Employee,IE1564,11.09.17,12.09.17,4506,
48496,book travel,22.08.17 15:54,22.08.17 17:15,Travel Department,AW2532,11.09.17,12.09.17,4506,
48497,check if expense documents exist,15.09.17 15:07,15.09.17 15:24,Employee,IE1564,11.09.17,12.09.17,4506,
48498,upload travel expense documents,15.09.17 15:24,15.09.17 15:36,Employee,IE1564,11.09.17,12.09.17,4506,
48499,file travel expense report,15.09.17 15:36,15.09.17 15:50,Employee,IE1564,11.09.17,12.09.17,4506,
48500,confirm travel expense report,15.09.17 15:50,15.09.17 15:52,Employee,IE1564,11.09.17,12.09.17,4506,
48501,decide on travel expense approval,18.09.17 13:59,18.09.17 14:00,Manager,OX4346,11.09.17,12.09.17,4506,
48502,send original documents to archive,25.09.17 10:16,25.09.17 10:43,Employee,IE1564,11.09.17,12.09.17,4506,
48503,calculate payments,10.09.17 11:07,10.09.17 11:40,Accounting,JH2172,11.09.17,12.09.17,4506,
48504,pay expenses,19.10.17 08:59,19.10.17 09:04,Accounting,JH2172,11.09.17,12.09.17,4506,
48505,file travel request,07.10.17 08:50,07.10.17 09:01,Employee,AV6598,25.10.17,27.10.17,4508,
48506,check if travel request needs preliminary price inquiry,07.10.17 09:01,07.10.17 09:03,,,25.10.17,27.10.17,4508,
48507,decide on approval requirements,07.10.17 09:03,07.10.17 09:03,,,25.10.17,27.10.17,4508,
48508,check if booking is necessary,20.07.17 14:50,20.07.17 14:51,Travel Department,NV2279,25.10.17,27.10.17,4508,
48509,upload travel expense documents,11.01.17 21:20,11.01.17 21:34,Employee,AV6598,25.10.17,27.10.17,4508,
48510,file travel expense report,11.01.17 21:34,11.01.17 21:40,Employee,AV6598,25.10.17,27.10.17,4508,
48511,check if expense documents exist,11.01.17 21:40,11.01.17 21:20,Employee,AV6598,25.10.17,27.10.17,4508,
48512,confirm travel expense report,11.01.17 21:40,11.01.17 21:42,Employee,AV6598,25.10.17,27.10.17,4508,
48513,decide on travel expense approval,11.02.17 12:59,11.02.17 13:02,Manager,TF7102,25.10.17,27.10.17,4508,
48514,send original documents to archive,11.06.17 05:59,11.06.17 06:20,Employee,AV6598,25.10.17,27.10.17,4508,
48515,calculate payments,15.12.17 07:59,15.12.17 08:42,Accounting,GU1789,25.10.17,27.10.17,4508,
48516,pay expenses,28.12.17 08:13,28.12.17 08:23,Accounting,GU1789,25.10.17,27.10.17,4508,
48517,file travel request,07.10.17 10:22,07.10.17 10:47,Employee,TI3640,29.07.17,31.07.17,4509,
48518,check if travel request needs preliminary price inquiry,07.10.17 10:47,07.10.17 10:47,,,29.07.17,31.07.17,4509,
48519,decide on approval requirements,07.10.17 10:47,07.10.17 10:49,,,29.07.17,31.07.17,4509,
48520,check if booking is necessary,20.07.17 14:59,20.07.17 15:03,Travel Department,NV2279,29.07.17,31.07.17,4509,
48521,check if expense documents exist,08.07.17 06:59,08.07.17 07:09,Employee,TI3640,29.07.17,31.07.17,4509,
48522,upload travel expense documents,08.07.17 07:09,08.07.17 07:28,Employee,TI3640,29.07.17,31.07.17,4509,
48523,file travel expense report,08.07.17 07:28,08.07.17 07:48,Employee,TI3640,29.07.17,31.07.17,4509,
48524,confirm travel expense report,08.07.17 07:48,08.07.17 07:49,Employee,TI3640,29.07.17,31.07.17,4509,
48525,decide on travel expense approval,08.07.17 14:06,08.07.17 14:07,Manager,OX4346,29.07.17,31.07.17,4509,
48526,send original documents to archive,15.08.17 15:39,15.08.17 15:46,Employee,TI3640,29.07.17,31.07.17,4509,
48527,calculate payments,09.07.17 08:59,09.07.17 09:57,Accounting,GR7476,29.07.17,31.07.17,4509,
48528,pay expenses,10.02.17 09:17,10.02.17 09:28,Accounting,GR7476,29.07.17,31.07.17,4509,
48529,file travel request,07.10.17 11:51,07.10.17 12:03,Employee,UR1632,29.09.17,03.10.17,4510,398
48530,check if travel request needs preliminary price inquiry,07.10.17 12:03,07.10.17 12:03,,,29.09.17,03.10.17,4510,398
48531,decide on approval requirements,07.10.17 12:03,07.10.17 12:05,,,29.09.17,03.10.17,4510,398
48532,check if booking is necessary,20.07.17 15:36,20.07.17 15:47,Travel Department,KS9688,29.09.17,03.10.17,4510,398
48533,check if expense documents exist,10.10.17 06:59,10.10.17 07:48,Employee,UR1632,29.09.17,03.10.17,4510,398
48534,upload travel expense documents,10.10.17 07:48,10.10.17 08:05,Employee,UR1632,29.09.17,03.10.17,4510,398
48535,file travel expense report,10.10.17 08:05,10.10.17 08:17,Employee,UR1632,29.09.17,03.10.17,4510,398
48536,confirm travel expense report,10.10.17 08:17,10.10.17 08:18,Employee,UR1632,29.09.17,03.10.17,4510,398
48537,decide on travel expense approval,10.10.17 14:02,10.10.17 14:05,Manager,CV4719,29.09.17,03.10.17,4510,398
48538,send request for travel expense correction,10.10.17 14:05,10.10.17 14:05,,,29.09.17,03.10.17,4510,398
48539,correct travel expense report,16.10.17 06:59,16.10.17 07:47,Employee,UR1632,29.09.17,03.10.17,4510,398
48540,decide on travel expense approval,16.10.17 14:04,16.10.17 14:08,Manager,CV4719,29.09.17,03.10.17,4510,398
48541,send request for travel expense correction,16.10.17 14:08,16.10.17 14:08,,,29.09.17,03.10.17,4510,398
48542,correct travel expense report,19.10.17 08:10,19.10.17 08:29,Employee,UR1632,29.09.17,03.10.17,4510,398
48543,decide on travel expense approval,19.10.17 13:59,19.10.17 14:03,Manager,CV4719,29.09.17,03.10.17,4510,398
48544,send original documents to archive,30.10.17 12:35,30.10.17 12:08,Employee,UR1632,29.09.17,03.10.17,4510,398
48545,calculate payments,20.11.17 15:30,20.11.17 14:51,Accounting,JK6642,29.09.17,03.10.17,4510,398
48546,pay expenses,12.11.17 08:13,12.11.17 08:20,Accounting,JK6642,29.09.17,03.10.17,4510,398
48547,file travel request,07.10.17 13:21,07.10.17 13:32,Employee,MV9004,22.10.17,25.10.17,4511,
48548,check if travel request needs preliminary price inquiry,07.10.17 13:32,07.10.17 13:33,,,22.10.17,25.10.17,4511,
48549,decide on approval requirements,07.10.17 13:33,07.10.17 13:34,,,22.10.17,25.10.17,4511,
48550,check if booking is necessary,20.07.17 16:10,20.07.17 16:17,Travel Department,WG5857,22.10.17,25.10.17,4511,
48551,check if expense documents exist,26.10.17 15:47,26.10.17 16:58,Employee,MV9004,22.10.17,25.10.17,4511,
48552,file travel expense report,26.10.17 16:58,26.10.17 17:10,Employee,MV9004,22.10.17,25.10.17,4511,
48553,confirm travel expense report,26.10.17 17:10,26.10.17 17:14,Employee,MV9004,22.10.17,25.10.17,4511,
48554,decide on travel expense approval,27.10.17 13:59,27.10.17 14:04,Manager,TJ5159,22.10.17,25.10.17,4511,
48555,send original documents to archive,13.11.17 14:48,13.11.17 13:58,Employee,MV9004,22.10.17,25.10.17,4511,
48556,calculate payments,12.08.17 11:33,12.08.17 11:00,Accounting,FI12,22.10.17,25.10.17,4511,
48557,pay expenses,18.12.17 08:21,18.12.17 08:32,Accounting,FI12,22.10.17,25.10.17,4511,
48558,file travel request,07.10.17 15:07,07.10.17 15:26,Employee,WK3041,05.09.17,06.09.17,4512,
48559,check if travel request needs preliminary price inquiry,07.10.17 15:26,07.10.17 15:28,,,05.09.17,06.09.17,4512,
48560,decide on approval requirements,07.10.17 15:28,07.10.17 15:29,,,05.09.17,06.09.17,4512,
48561,check if booking is necessary,20.07.17 16:40,20.07.17 16:43,Travel Department,KS9688,05.09.17,06.09.17,4512,
48562,check if expense documents exist,09.06.17 18:33,09.06.17 19:34,Employee,WK3041,05.09.17,06.09.17,4512,
48563,upload travel expense documents,09.06.17 19:34,09.06.17 19:57,Employee,WK3041,05.09.17,06.09.17,4512,
48564,file travel expense report,09.06.17 19:57,09.06.17 20:10,Employee,WK3041,05.09.17,06.09.17,4512,
48565,confirm travel expense report,09.06.17 20:10,09.06.17 20:13,Employee,WK3041,05.09.17,06.09.17,4512,
48566,decide on travel expense approval,09.07.17 13:59,09.07.17 14:04,Manager,MV9004,05.09.17,06.09.17,4512,
48567,send original documents to archive,15.09.17 16:43,15.09.17 17:03,Employee,WK3041,05.09.17,06.09.17,4512,
48568,calculate payments,23.10.17 14:59,23.10.17 15:21,Accounting,FI12,05.09.17,06.09.17,4512,
48569,pay expenses,30.10.17 08:59,30.10.17 08:07,Accounting,FI12,05.09.17,06.09.17,4512,
48570,file travel request,07.10.17 16:16,07.10.17 16:25,Employee,RR85,07.09.17,10.09.17,4513,
48571,check if travel request needs preliminary price inquiry,07.10.17 16:25,07.10.17 16:25,,,07.09.17,10.09.17,4513,
48572,decide on approval requirements,07.10.17 16:25,07.10.17 16:26,,,07.09.17,10.09.17,4513,
48573,check if booking is necessary,20.07.17 16:51,20.07.17 16:56,Travel Department,NV2279,07.09.17,10.09.17,4513,
48574,prepare booking proposal,08.01.17 09:08,08.01.17 10:14,Travel Department,NV2279,07.09.17,10.09.17,4513,
48575,send booking proposal to employee,08.11.17 13:05,08.11.17 13:07,Travel Department,NV2279,07.09.17,10.09.17,4513,
48576,check booking proposal,08.11.17 17:03,08.11.17 17:11,Employee,RR85,07.09.17,10.09.17,4513,
48577,book travel,23.08.17 15:47,23.08.17 17:51,Travel Department,NV2279,07.09.17,10.09.17,4513,
48578,check if expense documents exist,09.11.17 06:59,09.11.17 07:19,Employee,RR85,07.09.17,10.09.17,4513,
48579,upload travel expense documents,09.11.17 07:19,09.11.17 07:24,Employee,RR85,07.09.17,10.09.17,4513,
48580,file travel expense report,09.11.17 07:24,09.11.17 07:33,Employee,RR85,07.09.17,10.09.17,4513,
48581,confirm travel expense report,09.11.17 07:33,09.11.17 07:33,Employee,RR85,07.09.17,10.09.17,4513,
48582,decide on travel expense approval,09.11.17 14:03,09.11.17 14:06,Manager,YS1169,07.09.17,10.09.17,4513,
48583,calculate payments,26.09.17 09:05,26.09.17 10:06,Accounting,FI12,07.09.17,10.09.17,4513,
48584,send original documents to archive,27.09.17 08:18,27.09.17 08:35,Employee,RR85,07.09.17,10.09.17,4513,
48585,pay expenses,16.10.17 09:32,16.10.17 09:39,Accounting,FI12,07.09.17,10.09.17,4513,
48586,file travel request,07.10.17 17:53,07.10.17 18:03,Employee,WR9560,05.09.17,08.09.17,4514,
48587,check if travel request needs preliminary price inquiry,07.10.17 18:03,07.10.17 18:03,,,05.09.17,08.09.17,4514,
48588,decide on approval requirements,07.10.17 18:03,07.10.17 18:05,,,05.09.17,08.09.17,4514,
48589,check if booking is necessary,21.07.17 09:01,21.07.17 09:08,Travel Department,KS9688,05.09.17,08.09.17,4514,
48590,check if expense documents exist,09.11.17 06:59,09.11.17 07:12,Employee,WR9560,05.09.17,08.09.17,4514,
48591,file travel expense report,09.11.17 07:12,09.11.17 07:22,Employee,WR9560,05.09.17,08.09.17,4514,
48592,confirm travel expense report,09.11.17 07:22,09.11.17 07:26,Employee,WR9560,05.09.17,08.09.17,4514,
48593,decide on travel expense approval,09.11.17 14:01,09.11.17 14:07,Manager,MA6233,05.09.17,08.09.17,4514,
48594,send original documents to archive,18.09.17 06:59,18.09.17 07:06,Employee,WR9560,05.09.17,08.09.17,4514,
48595,calculate payments,28.09.17 15:20,28.09.17 16:12,Accounting,JK6642,05.09.17,08.09.17,4514,
48596,pay expenses,10.11.17 09:32,10.11.17 09:43,Accounting,JK6642,05.09.17,08.09.17,4514,
48597,file travel request,07.10.17 19:31,07.10.17 19:42,Employee,ST7563,18.08.17,19.08.17,4515,
48598,check if travel request needs preliminary price inquiry,07.10.17 19:42,07.10.17 19:43,,,18.08.17,19.08.17,4515,
48599,decide on approval requirements,07.10.17 19:43,07.10.17 19:44,,,18.08.17,19.08.17,4515,
48600,check if booking is necessary,21.07.17 09:07,21.07.17 09:13,Travel Department,KS9688,18.08.17,19.08.17,4515,
48601,check if expense documents exist,29.08.17 16:15,29.08.17 16:49,Employee,ST7563,18.08.17,19.08.17,4515,
48602,upload travel expense documents,29.08.17 16:49,29.08.17 17:06,Employee,ST7563,18.08.17,19.08.17,4515,
48603,file travel expense report,29.08.17 17:06,29.08.17 17:19,Employee,ST7563,18.08.17,19.08.17,4515,
48604,confirm travel expense report,29.08.17 17:19,29.08.17 17:20,Employee,ST7563,18.08.17,19.08.17,4515,
48605,decide on travel expense approval,30.08.17 13:59,30.08.17 14:00,Manager,OX4346,18.08.17,19.08.17,4515,
48606,send original documents to archive,19.09.17 10:57,19.09.17 11:17,Employee,ST7563,18.08.17,19.08.17,4515,
48607,calculate payments,29.09.17 08:59,29.09.17 09:43,Accounting,JK6642,18.08.17,19.08.17,4515,
48608,pay expenses,10.02.17 10:35,10.02.17 10:39,Accounting,JK6642,18.08.17,19.08.17,4515,
48609,file travel request,07.10.17 20:49,07.10.17 21:00,Employee,PQ629,09.10.17,11.10.17,4516,
48610,check if travel request needs preliminary price inquiry,07.10.17 21:00,07.10.17 21:02,,,09.10.17,11.10.17,4516,
48611,decide on approval requirements,07.10.17 21:02,07.10.17 21:03,,,09.10.17,11.10.17,4516,
48612,check if booking is necessary,21.07.17 09:08,21.07.17 09:14,Travel Department,NV2279,09.10.17,11.10.17,4516,
48613,prepare booking proposal,08.01.17 13:15,08.01.17 15:08,Travel Department,NV2279,09.10.17,11.10.17,4516,
48614,send booking proposal to employee,08.11.17 16:32,08.11.17 16:37,Travel Department,NV2279,09.10.17,11.10.17,4516,
48615,check booking proposal,08.11.17 17:25,08.11.17 17:27,Employee,PQ629,09.10.17,11.10.17,4516,
48616,book travel,23.08.17 16:47,23.08.17 18:11,Travel Department,NV2279,09.10.17,11.10.17,4516,
48617,check if expense documents exist,17.10.17 22:27,17.10.17 23:03,Employee,PQ629,09.10.17,11.10.17,4516,
48618,upload travel expense documents,18.10.17 06:59,18.10.17 07:08,Employee,PQ629,09.10.17,11.10.17,4516,
48619,file travel expense report,18.10.17 07:08,18.10.17 07:25,Employee,PQ629,09.10.17,11.10.17,4516,
48620,confirm travel expense report,18.10.17 07:25,18.10.17 07:25,Employee,PQ629,09.10.17,11.10.17,4516,
48621,decide on travel expense approval,18.10.17 14:00,18.10.17 14:06,Manager,AK7488,09.10.17,11.10.17,4516,
48622,send original documents to archive,23.10.17 06:59,23.10.17 07:26,Employee,PQ629,09.10.17,11.10.17,4516,
48623,calculate payments,11.10.17 12:34,11.10.17 12:20,Accounting,CX8911,09.10.17,11.10.17,4516,
48624,pay expenses,29.11.17 07:59,29.11.17 08:07,Accounting,CX8911,09.10.17,11.10.17,4516,
48625,file travel request,07.10.17 22:26,07.10.17 22:39,Employee,HE6617,27.10.17,28.10.17,4517,
48626,check if travel request needs preliminary price inquiry,07.10.17 22:39,07.10.17 22:40,,,27.10.17,28.10.17,4517,
48627,decide on approval requirements,07.10.17 22:40,07.10.17 22:40,,,27.10.17,28.10.17,4517,
48628,check if booking is necessary,21.07.17 09:13,21.07.17 09:14,Travel Department,KS9688,27.10.17,28.10.17,4517,
48629,upload travel expense documents,11.06.17 06:13,11.06.17 06:21,Employee,HE6617,27.10.17,28.10.17,4517,
48630,file travel expense report,11.06.17 06:21,11.06.17 06:33,Employee,HE6617,27.10.17,28.10.17,4517,
48631,confirm travel expense report,11.06.17 06:33,11.06.17 06:34,Employee,HE6617,27.10.17,28.10.17,4517,
48632,check if expense documents exist,11.06.17 06:59,11.06.17 06:13,Employee,HE6617,27.10.17,28.10.17,4517,
48633,decide on travel expense approval,11.06.17 13:02,11.06.17 13:08,Manager,MA6233,27.10.17,28.10.17,4517,
48634,send request for travel expense correction,11.06.17 13:08,11.06.17 13:10,,,27.10.17,28.10.17,4517,
48635,correct travel expense report,13.11.17 05:59,13.11.17 06:50,Employee,HE6617,27.10.17,28.10.17,4517,
48636,decide on travel expense approval,13.11.17 13:03,13.11.17 13:03,Manager,MA6233,27.10.17,28.10.17,4517,
48637,send request for travel expense correction,13.11.17 13:03,13.11.17 13:04,,,27.10.17,28.10.17,4517,
48638,correct travel expense report,17.11.17 09:17,17.11.17 10:04,Employee,HE6617,27.10.17,28.10.17,4517,
48639,decide on travel expense approval,17.11.17 12:59,17.11.17 13:03,Manager,MA6233,27.10.17,28.10.17,4517,
48640,send original documents to archive,23.11.17 11:50,23.11.17 12:03,Employee,HE6617,27.10.17,28.10.17,4517,
48641,calculate payments,12.04.17 11:46,12.04.17 12:37,Accounting,GR7476,27.10.17,28.10.17,4517,
48642,pay expenses,13.12.17 07:59,13.12.17 08:04,Accounting,GR7476,27.10.17,28.10.17,4517,
48643,file travel request,07.11.17 06:59,07.11.17 07:19,Employee,RV949,14.09.17,18.09.17,4518,
48644,check if travel request needs preliminary price inquiry,07.11.17 07:19,07.11.17 07:21,,,14.09.17,18.09.17,4518,
48645,decide on approval requirements,07.11.17 07:21,07.11.17 07:21,,,14.09.17,18.09.17,4518,
48646,check if booking is necessary,21.07.17 09:17,21.07.17 09:19,Travel Department,JV9257,14.09.17,18.09.17,4518,
48647,check if expense documents exist,21.09.17 21:54,21.09.17 22:42,Employee,RV949,14.09.17,18.09.17,4518,
48648,upload travel expense documents,21.09.17 22:42,21.09.17 22:50,Employee,RV949,14.09.17,18.09.17,4518,
48649,file travel expense report,21.09.17 22:50,21.09.17 22:55,Employee,RV949,14.09.17,18.09.17,4518,
48650,confirm travel expense report,21.09.17 22:55,21.09.17 22:56,Employee,RV949,14.09.17,18.09.17,4518,
48651,decide on travel expense approval,22.09.17 13:59,22.09.17 14:03,Manager,TD8091,14.09.17,18.09.17,4518,
48652,send original documents to archive,10.02.17 06:59,10.02.17 07:31,Employee,RV949,14.09.17,18.09.17,4518,
48653,calculate payments,10.10.17 15:37,10.10.17 16:35,Accounting,CX8911,14.09.17,18.09.17,4518,
48654,pay expenses,23.10.17 09:34,23.10.17 09:40,Accounting,CX8911,14.09.17,18.09.17,4518,
48655,file travel request,07.11.17 06:59,07.11.17 07:22,Employee,AP3601,21.09.17,22.09.17,4519,
48656,check if travel request needs preliminary price inquiry,07.11.17 07:22,07.11.17 07:22,,,21.09.17,22.09.17,4519,
48657,decide on approval requirements,07.11.17 07:22,07.11.17 07:24,,,21.09.17,22.09.17,4519,
48658,check if booking is necessary,21.07.17 09:19,21.07.17 09:20,Travel Department,KS9688,21.09.17,22.09.17,4519,
48659,prepare booking proposal,08.01.17 13:34,08.01.17 14:21,Travel Department,KS9688,21.09.17,22.09.17,4519,
48660,send booking proposal to employee,08.11.17 16:15,08.11.17 16:17,Travel Department,KS9688,21.09.17,22.09.17,4519,
48661,check booking proposal,08.11.17 19:42,08.11.17 19:43,Employee,AP3601,21.09.17,22.09.17,4519,
48662,book travel,23.08.17 16:57,23.08.17 19:32,Travel Department,KS9688,21.09.17,22.09.17,4519,
48663,check if expense documents exist,25.09.17 08:37,25.09.17 09:00,Employee,AP3601,21.09.17,22.09.17,4519,
48664,upload travel expense documents,25.09.17 09:00,25.09.17 09:18,Employee,AP3601,21.09.17,22.09.17,4519,
48665,file travel expense report,25.09.17 09:18,25.09.17 09:23,Employee,AP3601,21.09.17,22.09.17,4519,
48666,confirm travel expense report,25.09.17 09:23,25.09.17 09:23,Employee,AP3601,21.09.17,22.09.17,4519,
48667,decide on travel expense approval,25.09.17 14:10,25.09.17 14:16,Manager,MA6233,21.09.17,22.09.17,4519,
48668,send original documents to archive,10.04.17 06:59,10.04.17 07:05,Employee,AP3601,21.09.17,22.09.17,4519,
48669,calculate payments,23.10.17 08:59,23.10.17 09:38,Accounting,GR7476,21.09.17,22.09.17,4519,
48670,pay expenses,11.01.17 12:28,11.01.17 11:32,Accounting,GR7476,21.09.17,22.09.17,4519,
48671,file travel request,07.11.17 06:59,07.11.17 07:11,Employee,FV7530,14.08.17,16.08.17,4520,
48672,check if travel request needs preliminary price inquiry,07.11.17 07:11,07.11.17 07:12,,,14.08.17,16.08.17,4520,
48673,decide on approval requirements,07.11.17 07:12,07.11.17 07:13,,,14.08.17,16.08.17,4520,
48674,check if booking is necessary,21.07.17 09:14,21.07.17 09:17,Travel Department,NV2279,14.08.17,16.08.17,4520,
48675,check if expense documents exist,17.08.17 06:59,17.08.17 07:32,Employee,FV7530,14.08.17,16.08.17,4520,
48676,upload travel expense documents,17.08.17 07:32,17.08.17 07:53,Employee,FV7530,14.08.17,16.08.17,4520,
48677,file travel expense report,17.08.17 07:53,17.08.17 08:07,Employee,FV7530,14.08.17,16.08.17,4520,
48678,confirm travel expense report,17.08.17 08:07,17.08.17 08:11,Employee,FV7530,14.08.17,16.08.17,4520,
48679,decide on travel expense approval,17.08.17 13:59,17.08.17 14:01,Manager,LV1269,14.08.17,16.08.17,4520,
48680,send original documents to archive,22.08.17 06:59,22.08.17 07:27,Employee,FV7530,14.08.17,16.08.17,4520,
48681,calculate payments,09.01.17 09:05,09.01.17 09:44,Accounting,GU1789,14.08.17,16.08.17,4520,
48682,pay expenses,09.12.17 08:59,09.12.17 09:03,Accounting,GU1789,14.08.17,16.08.17,4520,
48683,file travel request,07.11.17 06:59,07.11.17 07:34,Employee,JW5428,30.08.17,31.08.17,4521,
48684,check if travel request needs preliminary price inquiry,07.11.17 07:34,07.11.17 07:35,,,30.08.17,31.08.17,4521,
48685,decide on approval requirements,07.11.17 07:35,07.11.17 07:36,,,30.08.17,31.08.17,4521,
48686,check if booking is necessary,21.07.17 09:23,21.07.17 09:30,Travel Department,AW2532,30.08.17,31.08.17,4521,
48687,check if expense documents exist,09.08.17 06:59,09.08.17 07:33,Employee,JW5428,30.08.17,31.08.17,4521,
48688,upload travel expense documents,09.08.17 07:33,09.08.17 07:47,Employee,JW5428,30.08.17,31.08.17,4521,
48689,file travel expense report,09.08.17 07:47,09.08.17 07:56,Employee,JW5428,30.08.17,31.08.17,4521,
48690,confirm travel expense report,09.08.17 07:56,09.08.17 07:59,Employee,JW5428,30.08.17,31.08.17,4521,
48691,decide on travel expense approval,09.08.17 13:59,09.08.17 14:03,Manager,TF7102,30.08.17,31.08.17,4521,
48692,send original documents to archive,20.09.17 06:59,20.09.17 07:59,Employee,JW5428,30.08.17,31.08.17,4521,
48693,calculate payments,10.09.17 09:41,10.09.17 10:33,Accounting,GR7476,30.08.17,31.08.17,4521,
48694,pay expenses,10.11.17 08:59,10.11.17 09:09,Accounting,GR7476,30.08.17,31.08.17,4521,
48695,file travel request,07.11.17 07:25,07.11.17 07:38,Employee,YG867,09.11.17,12.11.17,4523,
48696,check if travel request needs preliminary price inquiry,07.11.17 07:38,07.11.17 07:38,,,09.11.17,12.11.17,4523,
48697,decide on approval requirements,07.11.17 07:38,07.11.17 07:39,,,09.11.17,12.11.17,4523,
48698,check if booking is necessary,21.07.17 09:30,21.07.17 09:36,Travel Department,AW2532,09.11.17,12.11.17,4523,
